mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z,chirp,q
-124.22624249850514,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.22577520106283,9.99999985,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.22624399764115,10.000000000000002,2591.853448675168,170.5166742549453,10000.0,7.5,-4.0,7.5,4.0,-1.0,-1.0,499.999999,15.2
-124.22623566654775,10.000000000000002,2591.853468889604,170.51667390211205,10000.0,7.5,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.200000149999997
-124.22624250445078,10.000000000000002,2591.8534538588747,170.51667459597863,9999.9999995,7.5,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.22631777397925,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.4999997,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.22622620500283,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-3.9999997,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.22618968097069,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.4999997,4.0,-1.0,-1.0,500.0,15.2
-124.22626457567523,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,3.9999998000000003,-1.0,-1.0,500.0,15.2
-124.22624151241858,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,4.0,-0.99999999,-1.0,500.0,15.2
-124.22624323951517,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,4.0,-1.0,-0.99999999,500.0,15.2
-415.46914102389115,9.144966607453739,2686.351069089008,166.29135981436207,10000.0,5.919851989510704,-4.0,1.802473105991413,2.6125193712319246,-0.8833621533595999,-0.754426513678168,500.0,16.154483745204157
-415.4667285236585,9.144966757453739,2686.351069089008,166.29135981436207,10000.0,5.919851989510704,-4.0,1.802473105991413,2.6125193712319246,-0.8833621533595999,-0.754426513678168,500.0,16.154483745204157
-415.4691441525703,9.144966607453739,2686.351063716306,166.29135948177935,10000.0,5.919851989510704,-4.0,1.802473105991413,2.6125193712319246,-0.8833621533595999,-0.754426513678168,499.999999,16.154483745204157
-415.4691403615417,9.144966607453739,2686.351083764417,166.29135917873086,10000.0,5.919851989510704,-4.0,1.802473105991413,2.6125193712319246,-0.8833621533595999,-0.754426513678168,500.0,16.154483895204155
-415.4691410430965,9.144966607453739,2686.351069089008,166.29135981436207,9999.9999995,5.919851989510704,-4.0,1.802473105991413,2.6125193712319246,-0.8833621533595999,-0.754426513678168,500.0,16.154483745204157
-415.4692877118435,9.144966607453739,2686.351069089008,166.29135981436207,10000.0,5.919852289510704,-4.0,1.802473105991413,2.6125193712319246,-0.8833621533595999,-0.754426513678168,500.0,16.154483745204157
-415.4690527092671,9.144966607453739,2686.351069089008,166.29135981436207,10000.0,5.919851989510704,-3.9999997,1.802473105991413,2.6125193712319246,-0.8833621533595999,-0.754426513678168,500.0,16.154483745204157
-415.4688578511234,9.144966607453739,2686.351069089008,166.29135981436207,10000.0,5.919851989510704,-4.0,1.802473405991413,2.6125193712319246,-0.8833621533595999,-0.754426513678168,500.0,16.154483745204157
-415.46918330423966,9.144966607453739,2686.351069089008,166.29135981436207,10000.0,5.919851989510704,-4.0,1.802473105991413,2.6125195712319242,-0.8833621533595999,-0.754426513678168,500.0,16.154483745204157
-415.4691602186892,9.144966607453739,2686.351069089008,166.29135981436207,10000.0,5.919851989510704,-4.0,1.802473105991413,2.6125193712319246,-0.8833621433595998,-0.754426513678168,500.0,16.154483745204157
-415.46913403666707,9.144966607453739,2686.351069089008,166.29135981436207,10000.0,5.919851989510704,-4.0,1.802473105991413,2.6125193712319246,-0.8833621533595999,-0.7544265036781681,500.0,16.154483745204157
40.49629825495428,5.5071925123821694,2785.960012854086,162.11427924406735,9994.506944944233,7.5,-0.8780318259951501,0.0,0.0,-1.0,-0.6973724632536047,500.0,17.185161145859023
40.49666598412992,5.507192662382169,2785.960012854086,162.11427924406735,9994.506944944233,7.5,-0.8780318259951501,0.0,0.0,-1.0,-0.6973724632536047,500.0,17.185161145859023
40.49629926449253,5.5071925123821694,2785.960007282166,162.1142789198388,9994.506944944233,7.5,-0.8780318259951501,0.0,0.0,-1.0,-0.6973724632536047,499.999999,17.185161145859023
40.496290657260175,5.5071925123821694,2785.9600271769314,162.11427866250187,9994.506944944233,7.5,-0.8780318259951501,0.0,0.0,-1.0,-0.6973724632536047,500.0,17.18516129585902
40.49629825273055,5.5071925123821694,2785.960012854086,162.11427924406735,9994.506945444233,7.5,-0.8780318259951501,0.0,0.0,-1.0,-0.6973724632536047,500.0,17.185161145859023
40.49635587282882,5.5071925123821694,2785.960012854086,162.11427924406735,9994.506944944233,7.4999997,-0.8780318259951501,0.0,0.0,-1.0,-0.6973724632536047,500.0,17.185161145859023
40.496281197359245,5.5071925123821694,2785.960012854086,162.11427924406735,9994.506944944233,7.5,-0.8780315259951501,0.0,0.0,-1.0,-0.6973724632536047,500.0,17.185161145859023
40.49625912787,5.5071925123821694,2785.960012854086,162.11427924406735,9994.506944944233,7.5,-0.8780318259951501,3e-07,0.0,-1.0,-0.6973724632536047,500.0,17.185161145859023
40.49629825495338,5.5071925123821694,2785.960012854086,162.11427924406735,9994.506944944233,7.5,-0.8780318259951501,0.0,2e-07,-1.0,-0.6973724632536047,500.0,17.185161145859023
40.49629370140624,5.5071925123821694,2785.960012854086,162.11427924406735,9994.506944944233,7.5,-0.8780318259951501,0.0,0.0,-0.99999999,-0.6973724632536047,500.0,17.185161145859023
40.49630056896317,5.5071925123821694,2785.960012854086,162.11427924406735,9994.506944944233,7.5,-0.8780318259951501,0.0,0.0,-1.0,-0.6973724532536048,500.0,17.185161145859023
34.57539933636208,10.000000000000002,2986.501533000248,154.45714613964134,9998.57778665272,0.0,-4.0,7.3092105161682035,4.0,-0.8112618869317465,-0.9977363838594231,500.0,19.3354701135046
34.574476836920326,9.99999985,2986.501533000248,154.45714613964134,9998.57778665272,0.0,-4.0,7.3092105161682035,4.0,-0.8112618869317465,-0.9977363838594231,500.0,19.3354701135046
34.57540146665861,10.000000000000002,2986.501527027245,154.45714583072706,9998.57778665272,0.0,-4.0,7.3092105161682035,4.0,-0.8112618869317465,-0.9977363838594231,499.999999,19.3354701135046
34.575386109641414,10.000000000000002,2986.501546673527,154.45714564855984,9998.57778665272,0.0,-4.0,7.3092105161682035,4.0,-0.8112618869317465,-0.9977363838594231,500.0,19.335470263504597
34.57539933445991,10.000000000000002,2986.501533000248,154.45714613964134,9998.57778715272,0.0,-4.0,7.3092105161682035,4.0,-0.8112618869317465,-0.9977363838594231,500.0,19.3354701135046
34.575327725050315,10.000000000000002,2986.501533000248,154.45714613964134,9998.57778665272,3e-07,-4.0,7.3092105161682035,4.0,-0.8112618869317465,-0.9977363838594231,500.0,19.3354701135046
34.57544318913226,10.000000000000002,2986.501533000248,154.45714613964134,9998.57778665272,0.0,-3.9999997,7.3092105161682035,4.0,-0.8112618869317465,-0.9977363838594231,500.0,19.3354701135046
34.57549955642931,10.000000000000002,2986.501533000248,154.45714613964134,9998.57778665272,0.0,-4.0,7.3092108161682035,4.0,-0.8112618869317465,-0.9977363838594231,500.0,19.3354701135046
34.575406069277264,10.000000000000002,2986.501533000248,154.45714613964134,9998.57778665272,0.0,-4.0,7.3092105161682035,3.9999998000000003,-0.8112618869317465,-0.9977363838594231,500.0,19.3354701135046
34.57539279619489,10.000000000000002,2986.501533000248,154.45714613964134,9998.57778665272,0.0,-4.0,7.3092105161682035,4.0,-0.8112618769317465,-0.9977363838594231,500.0,19.3354701135046
34.57540495652017,10.000000000000002,2986.501533000248,154.45714613964134,9998.57778665272,0.0,-4.0,7.3092105161682035,4.0,-0.8112618869317465,-0.997736373859423,500.0,19.3354701135046
10.215187080312468,6.812819695250074,2691.3272513612596,166.07618211370877,10000.0,1.2220616055340436,3.7704060994020248,0.7745764373115233,4.0,-0.7354642958481556,-0.6798825282246346,500.0,16.20537765926342
10.215317710398264,6.812819845250074,2691.3272513612596,166.07618211370877,10000.0,1.2220616055340436,3.7704060994020248,0.7745764373115233,4.0,-0.7354642958481556,-0.6798825282246346,500.0,16.20537765926342
10.215187685348646,6.812819695250074,2691.3272459786053,166.07618178155641,10000.0,1.2220616055340436,3.7704060994020248,0.7745764373115233,4.0,-0.7354642958481556,-0.6798825282246346,499.999999,16.20537765926342
10.215183542251427,6.812819695250074,2691.327266018539,166.07618148094673,10000.0,1.2220616055340436,3.7704060994020248,0.7745764373115233,4.0,-0.7354642958481556,-0.6798825282246346,500.0,16.20537780926342
10.21518708203537,6.812819695250074,2691.3272513612596,166.07618211370877,9999.9999995,1.2220616055340436,3.7704060994020248,0.7745764373115233,4.0,-0.7354642958481556,-0.6798825282246346,500.0,16.20537765926342
10.215206187619309,6.812819695250074,2691.3272513612596,166.07618211370877,10000.0,1.2220619055340436,3.7704060994020248,0.7745764373115233,4.0,-0.7354642958481556,-0.6798825282246346,500.0,16.20537765926342
10.215189459451835,6.812819695250074,2691.3272513612596,166.07618211370877,10000.0,1.2220616055340436,3.7704063994020247,0.7745764373115233,4.0,-0.7354642958481556,-0.6798825282246346,500.0,16.20537765926342
10.215203874535526,6.812819695250074,2691.3272513612596,166.07618211370877,10000.0,1.2220616055340436,3.7704060994020248,0.7745767373115233,4.0,-0.7354642958481556,-0.6798825282246346,500.0,16.20537765926342
10.21520115339245,6.812819695250074,2691.3272513612596,166.07618211370877,10000.0,1.2220616055340436,3.7704060994020248,0.7745764373115233,3.9999998000000003,-0.7354642958481556,-0.6798825282246346,500.0,16.20537765926342
10.215185654325637,6.812819695250074,2691.3272513612596,166.07618211370877,10000.0,1.2220616055340436,3.7704060994020248,0.7745764373115233,4.0,-0.7354642858481556,-0.6798825282246346,500.0,16.20537765926342
10.215188448224659,6.812819695250074,2691.3272513612596,166.07618211370877,10000.0,1.2220616055340436,3.7704060994020248,0.7745764373115233,4.0,-0.7354642958481556,-0.6798825182246346,500.0,16.20537765926342
29.987314503496016,5.258109850221997,2697.407464291647,165.814221863932,10000.0,7.5,-0.8433541916771605,0.0,1.6871813859650526,-0.9517229060606188,-0.9218009350802552,500.0,16.267648419839123
29.987193442181578,5.258110000221997,2697.407464291647,165.814221863932,10000.0,7.5,-0.8433541916771605,0.0,1.6871813859650526,-0.9517229060606188,-0.9218009350802552,500.0,16.267648419839123
29.98731482884119,5.258109850221997,2697.407458896832,165.81422153230355,10000.0,7.5,-0.8433541916771605,0.0,1.6871813859650526,-0.9517229060606188,-0.9218009350802552,499.999999,16.267648419839123
29.98731351632282,5.258109850221997,2697.4074789268484,165.81422123465046,10000.0,7.5,-0.8433541916771605,0.0,1.6871813859650526,-0.9517229060606188,-0.9218009350802552,500.0,16.26764856983912
29.98731450502128,5.258109850221997,2697.407464291647,165.814221863932,9999.9999995,7.5,-0.8433541916771605,0.0,1.6871813859650526,-0.9517229060606188,-0.9218009350802552,500.0,16.267648419839123
29.98725404836107,5.258109850221997,2697.407464291647,165.814221863932,10000.0,7.4999997,-0.8433541916771605,0.0,1.6871813859650526,-0.9517229060606188,-0.9218009350802552,500.0,16.267648419839123
29.98733812931976,5.258109850221997,2697.407464291647,165.814221863932,10000.0,7.5,-0.843353891677161,0.0,1.6871813859650526,-0.9517229060606188,-0.9218009350802552,500.0,16.267648419839123
29.987365034709445,5.258109850221997,2697.407464291647,165.814221863932,10000.0,7.5,-0.8433541916771605,3e-07,1.6871813859650526,-0.9517229060606188,-0.9218009350802552,500.0,16.267648419839123
29.98733044765196,5.258109850221997,2697.407464291647,165.814221863932,10000.0,7.5,-0.8433541916771605,0.0,1.6871815859650523,-0.9517229060606188,-0.9218009350802552,500.0,16.267648419839123
29.987315128662292,5.258109850221997,2697.407464291647,165.814221863932,10000.0,7.5,-0.8433541916771605,0.0,1.6871813859650526,-0.9517228960606188,-0.9218009350802552,500.0,16.267648419839123
29.98731442296331,5.258109850221997,2697.407464291647,165.814221863932,10000.0,7.5,-0.8433541916771605,0.0,1.6871813859650526,-0.9517229060606188,-0.9218009250802551,500.0,16.267648419839123
34.94862375926149,10.000000000000002,2929.7482936556335,148.39824509025107,9991.387297687297,7.5,4.0,0.0,4.0,-0.6215395139618057,-0.9487593749503331,484.5042454193287,19.742472640925463
34.948445989711736,9.99999985,2929.7482936556335,148.39824509025107,9991.387297687297,7.5,4.0,0.0,4.0,-0.6215395139618057,-0.9487593749503331,484.5042454193287,19.742472640925463
34.94862298107419,10.000000000000002,2929.7482997025327,148.39824539653992,9991.387297687297,7.5,4.0,0.0,4.0,-0.6215395139618057,-0.9487593749503331,484.5042464193287,19.742472640925463
34.94862113946026,10.000000000000002,2929.748306796846,148.39824462837763,9991.387297687297,7.5,4.0,0.0,4.0,-0.6215395139618057,-0.9487593749503331,484.5042454193287,19.74247279092546
34.94862375707543,10.000000000000002,2929.7482936556335,148.39824509025107,9991.387298187297,7.5,4.0,0.0,4.0,-0.6215395139618057,-0.9487593749503331,484.5042454193287,19.742472640925463
34.94860002185139,10.000000000000002,2929.7482936556335,148.39824509025107,9991.387297687297,7.4999997,4.0,0.0,4.0,-0.6215395139618057,-0.9487593749503331,484.5042454193287,19.742472640925463
34.94863240413963,10.000000000000002,2929.7482936556335,148.39824509025107,9991.387297687297,7.5,3.9999997,0.0,4.0,-0.6215395139618057,-0.9487593749503331,484.5042454193287,19.742472640925463
34.94864874622591,10.000000000000002,2929.7482936556335,148.39824509025107,9991.387297687297,7.5,4.0,3e-07,4.0,-0.6215395139618057,-0.9487593749503331,484.5042454193287,19.742472640925463
34.94861751261417,10.000000000000002,2929.7482936556335,148.39824509025107,9991.387297687297,7.5,4.0,0.0,3.9999998000000003,-0.6215395139618057,-0.9487593749503331,484.5042454193287,19.742472640925463
34.94862390147428,10.000000000000002,2929.7482936556335,148.39824509025107,9991.387297687297,7.5,4.0,0.0,4.0,-0.6215395039618057,-0.9487593749503331,484.5042454193287,19.742472640925463
34.94862444743556,10.000000000000002,2929.7482936556335,148.39824509025107,9991.387297687297,7.5,4.0,0.0,4.0,-0.6215395139618057,-0.9487593649503331,484.5042454193287,19.742472640925463
-157.7205402345366,7.661612536071903,2764.627132151424,153.0763903320795,9998.758664206815,0.0,-4.0,0.0,4.0,-0.6287238841808727,-0.978946488365116,481.8575134443605,18.06044110495369
-157.72115480895357,7.661612686071904,2764.627132151424,153.0763903320795,9998.758664206815,0.0,-4.0,0.0,4.0,-0.6287238841808727,-0.978946488365116,481.8575134443605,18.06044110495369
-157.7205362823298,7.661612536071903,2764.6271378888614,153.0763906497593,9998.758664206815,0.0,-4.0,0.0,4.0,-0.6287238841808727,-0.978946488365116,481.8575144443605,18.06044110495369
