,mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z,chirp,q
0,146209.9143779893,3.0,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7,0.0,0.0,0.0,28.846557736692382,1.3103448275862069
1,82395.86248504985,3.1500000000000004,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7,0.0,0.0,0.0,28.846557736692382,1.3103448275862069
2,135738.9397181344,3.0,39.9,30.450000000000003,1100.0,1.3,-1.3,2.7,0.0,0.0,0.0,30.288885623527,1.3103448275862069
3,146089.95129017276,3.0,38.96621299248636,28.321307688774546,1100.0,1.3,-1.3,2.7,0.0,0.0,0.0,28.846557736692382,1.3758620689655172
4,132756.88835345948,3.0,38.0,29.000000000000004,1155.0,1.3,-1.3,2.7,0.0,0.0,0.0,28.846557736692382,1.3103448275862069
5,149330.3851728416,3.0,38.0,29.000000000000004,1100.0,1.3650000000000002,-1.3,2.7,0.0,0.0,0.0,28.846557736692382,1.3103448275862069
6,148521.01493354607,3.0,38.0,29.000000000000004,1100.0,1.3,-1.3650000000000002,2.7,0.0,0.0,0.0,28.846557736692382,1.3103448275862069
7,145227.40666002914,3.0,38.0,29.000000000000004,1100.0,1.3,-1.3,2.8350000000000004,0.0,0.0,0.0,28.846557736692382,1.3103448275862069
8,146209.90533646682,3.0,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7,0.00025,0.0,0.0,28.846557736692382,1.3103448275862069
9,146200.13520140143,3.0,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7,0.0,0.00025,0.0,28.846557736692382,1.3103448275862069
10,146203.2213630282,3.0,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7,0.0,0.0,0.00025,28.846557736692382,1.3103448275862069
11,139691.03069719614,3.0299999999999994,38.57667220035227,29.148605883538718,1111.0,1.2350000000000003,-1.3130000000000004,2.7269999999999994,5e-05,5e-05,5e-05,29.135023314059303,1.3234482758620687
12,201256.16168286637,3.0359999999999996,38.69238233437371,29.17825794926248,1113.1999999999998,1.2870000000000006,-1.2376000000000005,2.7323999999999993,6.000000000000001e-05,6.000000000000001e-05,6.000000000000001e-05,29.192716429532688,1.326068965517241
13,147598.36736227066,3.009,38.172672561097485,29.044642500703866,1103.3,1.2967500000000003,-1.3331500000000003,2.7081,1.5000000000000002e-05,1.5000000000000002e-05,1.5000000000000002e-05,28.93309740990246,1.3142758620689654
14,125629.18722824883,3.0269999999999997,38.518864042791996,29.133771249308023,1109.8999999999999,1.2902500000000003,-1.2694500000000004,2.7242999999999995,4.500000000000001e-05,4.500000000000001e-05,4.500000000000001e-05,29.10617675632261,1.3221379310344825
15,223634.50973916912,3.0414000000000003,38.79662834524819,29.20492524250079,1115.1799999999998,1.2850500000000002,-1.2964900000000006,2.73726,6.900000000000001e-05,6.900000000000001e-05,6.900000000000001e-05,29.24464023345874,1.3284275862068964
16,147103.4200579911,3.01035,38.1985977948743,29.051334371454132,1103.795,1.2962625,-1.2991225000000002,2.709315,1.7250000000000003e-05,1.7250000000000003e-05,1.7250000000000003e-05,28.946078360883973,1.3148655172413792
17,144461.83495054417,3.0885,38.25911469570434,29.066944176873182,1104.9499999999998,1.295125,-1.2847250000000003,2.71215,2.2500000000000005e-05,2.2500000000000005e-05,2.2500000000000005e-05,28.976367246507497,1.3162413793103447
18,146526.0968560312,3.075,38.0,29.000000000000004,1127.5,1.3,-1.3,2.7,0.0,0.0,0.0,28.846557736692382,1.3103448275862069
19,89247.09325987338,3.075,38.95,29.725000000000005,1100.0,1.3,-1.3,2.7,0.0,0.0,0.0,29.567721680109692,1.3103448275862069
20,141851.8167679152,3.09,38.28794441291093,29.074375176077954,1105.5,1.2675,-1.3065000000000002,2.7135,2.5e-05,2.5e-05,2.5e-05,28.990790525375843,1.3168965517241378
21,154657.96416440437,3.075,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7675,0.0,0.0,0.0,28.846557736692382,1.3103448275862069
22,152333.6354409231,3.075,38.48540617350651,28.654089320454148,1100.0,1.3,-1.3,2.7,0.0,0.0,0.0,28.846557736692382,1.343103448275862
23,153707.01856527274,3.075,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7,0.0,0.000125,0.0,28.846557736692382,1.3103448275862069
24,153698.90157465,3.075,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7,0.0,0.0,0.000125,28.846557736692382,1.3103448275862069
25,153679.94268296898,3.075,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7,0.000125,0.0,0.0,28.846557736692382,1.3103448275862069
26,153679.94500170698,3.075,38.0,29.000000000000004,1100.0,1.3,-1.3,2.7,0.0,0.0,0.0,28.846557736692382,1.3103448275862069
27,141787.78448922304,3.095699999999999,38.39756876957572,29.10259980653743,1107.5900000000001,1.2925250000000006,-1.2982450000000008,2.637629999999999,3.4500000000000005e-05,3.4500000000000005e-05,3.4500000000000005e-05,29.04559898507555,1.3193862068965512
28,280003.05474698753,3.0998399999999986,38.47726154246718,29.123086755651336,1109.1080000000002,1.2910300000000008,-1.2978940000000005,2.6926559999999995,4.1400000000000003e-05,-0.0001086,4.1400000000000003e-05,29.08540723475219,1.32119448275862
29,127230.70015078303,3.0812099999999996,38.11911386845331,29.03080891462951,1102.277,1.2977575000000003,-1.2994735000000002,2.6981640000000002,1.0350000000000001e-05,6.66e-05,1.0350000000000001e-05,28.906270111207334,1.31305724137931
30,348817.4942427627,3.101081999999999,38.5011809980316,29.129230703602797,1109.5634,1.2905815000000007,-1.2977887000000006,2.692288799999999,4.347e-05,2.9720000000000007e-05,-0.00010653,29.097349709655184,1.3217369655172408
